shop_id,chain_code,chain_name,shop_name,address,lat,lng,payment_tags,source_url
blue-tag-shop-9541664405,blue-tag,美容・理容,リュッケ,兵庫県赤穂市北野中324-1,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-31252cf2f0,blue-tag,その他,リラクゼーション和,兵庫県加古川市別府町朝日町41-2,,,blue_tag,https://nagomi-kakogawa.com/
kanazawa-0f6cc4e13c,blue-tag,カフェ,ル ミュゼ ドゥ アッシュ KANAZAWA,石川県金沢市出羽町2-1石川県立美術館内,,,blue_tag,https://le-musee-de-h.jp/shops/kanazawa.html
blue-tag-shop-a317fae27b,blue-tag,専門料理店,レストランアンシャンテ,兵庫県神戸市　中央区中山手通2丁目16-4中西ビル1F,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
blue-tag-shop-c8f9787210,blue-tag,専門料理店,レストランウイステリア,岡山県倉敷市中央1丁目1番44号,,,blue_tag,https://www.kurashiki-kokusai-hotel.co.jp/
blue-tag-shop-9e0af42d3a,blue-tag,専門料理店,レストラン亀遊亭,岡山県倉敷市中央1丁目2番20号,,,blue_tag,https://www.kiyutei.jp/
blue-tag-shop-133ecdbcb0,blue-tag,専門料理店,ロティスール　ピエロ,大阪府交野市私部西2-3-9,,,blue_tag,https://www.google.com/maps/d/viewer?mid=1cuUtTOY_H5F84hIkz0_tNmcSV3GsBpk
uomo-5c6bb00376,blue-tag,居酒屋・バー,ワインとオマール海老の店UOMO,大阪府大阪市　北区梅田１丁目1-3大阪駅前第3ビルB1-14号,,,blue_tag,https://uomo-wine.com/
blue-tag-shop-6a08d3cef5,blue-tag,居酒屋・バー,ワイングラース,大阪府大阪市　福島区福島5-11-7,,,blue_tag,https://wine-grace.com
blue-tag-shop-7226c98469,blue-tag,アパレル,ワークショップこすぎ,大阪府大阪市　淀川区十三本町1-13-17,,,blue_tag,https://www.kosugishouten.com
blue-tag-shop-8c44115b42,blue-tag,インテリア,ヴィード古江店,広島県広島市西区古江新町8-4,,,blue_tag,https://vide-palette.co.jp/
