shop_id,chain_code,chain_name,shop_name,address,lat,lng,payment_tags,source_url
lawson-marunouchi-001,lawson,LAWSON,ローソン 丸の内中央店,東京都千代田区丸の内1-9-1,,,smart_code,
matsuya-7c5e7a0db2bf,matsuya,松屋,松屋 16号柏店（松のや併設）,千葉県柏市大井568-1,35.845683,139.997709,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/3249
matsuya-e8ca5083bf4d,matsuya,松屋,松屋 8号長浜店（松のや併設）,滋賀県長浜市小堀町402-1,35.387079,136.284291,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/3276
matsuya-4d83d5a76811,matsuya,松屋,松屋 JR尼崎店,兵庫県尼崎市長洲本通1-4-2 レジュ-ルアッシュ尼崎駅前,34.73081,135.431038,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/843
matsuya-f28eb78388d9,matsuya,松屋,松屋 JR茨木店（松のや併設）,大阪府茨木市春日1-4-1,34.817058,135.562384,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/436
matsuya-84d1e84bddf9,matsuya,松屋,松屋 JR高槻南口店,大阪府高槻市高槻町9-22 吉廣第二ビル 1.2F,34.850603,135.619434,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/253
matsuya-756de4c41a13,matsuya,松屋,松屋 KOKO HOTEL広島駅前店,広島県広島市南区京橋町10-3,34.393997,132.472569,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop?page=103&sort=Shop.id&direction=asc
matsuya-8d27f5cfafcc,matsuya,松屋,松屋 tekute長町店（マイカリー食堂併設）,宮城県仙台市太白区長町5-1-30,38.227186,140.885668,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop?page=117&sort=Shop.id&direction=asc
matsuya-b5eaa22bc1b6,matsuya,松屋,松屋 あざみ野店,神奈川県横浜市青葉区あざみ野1-11-1 あざみ野センタ-ビル1F,35.568373,139.552578,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/561
matsuya-56e9d235f34d,matsuya,松屋,松屋 あびこ店（松のや併設）,大阪府大阪市住吉区苅田5-19-17 メトロアビコ1F,34.599755,135.513136,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/271
matsuya-2eb010822e5a,matsuya,松屋,松屋 うるま石川店 （松のや併設）,沖縄県うるま市石川白浜 1-4-12,26.428674,127.827745,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/1587
matsuya-289f8f05c2eb,matsuya,松屋,松屋 うるま赤道店（松のや併設）,沖縄県うるま市字赤道256-4,26.355255,127.831196,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/1962
matsuya-945327ddac04,matsuya,松屋,松屋 お花茶屋店,東京都葛飾区お花茶屋1-19-16 飯田ビル,35.747792,139.840514,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/422
matsuya-96b2ee7d2296,matsuya,松屋,松屋 かすみがうら店,茨城県かすみがうら市上稲吉1943-32,36.131273,140.224923,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/796
matsuya-55cce4b36d8a,matsuya,松屋,松屋 さいたま見沼店（松のや併設）,埼玉県さいたま市見沼区新提94-1,35.930335,139.674798,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/3045
matsuya-ed3db7181997,matsuya,松屋,松屋 さがみ野店,神奈川県海老名市東柏ヶ谷2-30-24,35.47131,139.428839,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop?page=51&sort=Shop.id&direction=asc
matsuya-a09e6376e63f,matsuya,松屋,松屋 すすきの店,北海道札幌市中央区南4条西3-1-1 第3グリ-ンビル,43.055454,141.354381,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/137
matsuya-636905171349,matsuya,松屋,松屋 そよら古川橋駅前店（松のや併設）,大阪府門真市末広町41-2 イオンそよら古川橋1F,34.738822,135.591894,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop?page=118&sort=Shop.id&direction=asc
matsuya-751d5f3e2bf2,matsuya,松屋,松屋 そよら長原駅前店（松のや併設）,大阪府大阪市平野区長吉長原東2-2-35 そよら長原駅前102区画,34.602,135.574223,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop?page=132&sort=Shop.id&direction=asc
matsuya-4458f1a01092,matsuya,松屋,松屋 たつの店,兵庫県たつの市龍野町堂本369-3,34.852488,134.5522,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/804
matsuya-89e47f2103bf,matsuya,松屋,松屋 つくば東大通店,茨城県つくば市妻木1768-1,36.10922,140.107556,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/802
matsuya-b77743453a83,matsuya,松屋,松屋 つくば研究学園店（松のや併設）,茨城県つくば市研究学園1-3-6,36.084677,140.077874,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/2900
matsuya-40fd114f76fd,matsuya,松屋,松屋 つくば西大通り店（マイカリー食堂併設）,茨城県つくば市春日4-1-5,36.094899,140.097598,smart_code,https://bento.matsuyafoods.co.jp/matsuben-net/shop/transact/893
