snapshot_date,chain_name,change_type,blocked_reason,source_type,source_url,enabled,chain_code
2026-03-14,はるやま,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,ひごペットフレンドリー,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,ふく薬品,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,まねきねこ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,やまなか家,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,よどや,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,らーめん日高,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,アイセイ薬局グループ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,アインズ&トルペ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,アストロプロダクツ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,アスピア明石,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,アドベンチャーワールド,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,アルカドラッグ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,イエローハット,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,イシグロ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,イトーヨーカ堂／アリオ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,イトーヨーカ堂／イトーヨーカドー,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,イトーヨーカ堂／グランツリー,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,イトーヨーカ堂／プライムツリー,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,イトーヨーカ堂／ポッポ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,ウェンディーズ・ファーストキッチン,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,ウエルシア薬局,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,エディオン,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,オーケー,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,オータニ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,オートバックス,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,カクヤス,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,カワチ薬品,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,ガスト,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,キタノイチバ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,キラリナ京王吉祥寺,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,キリンビアファーム,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,キリン堂,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,クルーズクルーズ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,グランベリーパーク,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,グローバル治療院,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,ケンタッキーフライドチキン,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,ケーズデンキ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,コクミン,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,コスメティクスアンドメディカル,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,コナカ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,コメダ珈琲店,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,コメリ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,コーナン,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,サツドラ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,サンプラザ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,ザ・ニッカバー,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,シェーキーズ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,シカゴピザ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,シズラー,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,シージャック,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,ジャパン,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,ジャンカラ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,ジョイナス,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,ジョイフルエーケー,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,ジョナサン,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,ジョーシン,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,スギドラッグ,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,スギヤマ薬品,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,スギ薬局,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,スシロー,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,スタンダードコーヒー,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
2026-03-14,ステーキガスト,added,disabled,review_needed,https://www.smart-code.jp/shoplist/,FALSE,
